AgeInDays,BlastFurnaceSlag,CementComponent,SuperplasticizerComponent,WaterComponent,Strength
28,114.0,266.0,0.0,228.0,52.91
7,189.0,362.6,11.6,164.9,55.9
28,189.0,389.9,22.0,145.9,74.5
3,189.0,362.6,11.6,164.9,35.3
28,0.0,145.0,8.0,202.0,10.54
28,116.0,276.4,8.9,179.6,44.28
28,139.0,149.0,6.0,193.0,23.69
100,0.0,251.8,12.4,146.1,45.37
28,0.0,212.6,10.4,159.4,37.4
90,0.0,393.0,0.0,192.0,48.85
28,0.0,313.0,8.0,178.0,25.1
7,155.5,170.3,0.0,185.7,10.73
3,117.2,469.0,7.0,137.8,40.2
7,282.8,323.7,10.3,183.8,49.8
14,50.1,173.5,6.5,164.8,33.01
7,342.1,228.0,0.0,185.7,21.92
28,0.0,318.0,6.0,210.0,40.06
7,166.8,250.2,0.0,203.5,19.35
28,105.0,273.0,9.0,210.0,37.17
14,128.5,165.0,8.1,175.1,33.09
28,181.9,272.8,0.0,185.7,31.38
100,0.0,165.0,0.0,163.8,37.96
56,0.0,295.7,8.9,171.5,48.72
3,250.2,166.8,0.0,203.5,6.9
14,53.8,214.9,9.6,155.6,38.6
28,0.0,249.1,12.8,158.1,30.85
7,0.0,225.0,0.0,181.0,11.17
28,145.0,313.0,8.0,178.0,41.05
100,0.0,213.5,11.7,159.2,52.96
3,0.0,339.0,0.0,197.0,13.22
28,0.0,405.0,0.0,175.0,52.3
28,0.0,393.0,0.0,192.0,39.6
90,305.3,203.5,0.0,203.5,51.86
100,0.0,246.8,12.0,143.3,66.42
3,129.9,167.4,7.8,175.5,14.94
28,142.5,332.5,0.0,228.0,33.02
28,0.0,212.5,8.7,159.3,31.64
28,112.3,266.2,10.4,177.9,39.42
7,200.0,133.0,0.0,192.0,13.66
56,0.0,297.2,9.5,174.8,51.96
7,0.0,300.0,0.0,184.0,15.58
3,173.0,116.0,0.0,192.0,6.28
90,132.4,198.6,0.0,192.0,38.07
28,20.0,387.0,14.3,157.0,50.24
3,0.0,230.0,4.6,195.5,10.03
56,189.2,374.0,10.1,170.1,63.4
28,0.0,385.0,20.0,158.0,55.55
28,0.0,307.0,0.0,193.0,36.15
28,0.0,302.0,0.0,203.0,21.75
3,212.0,141.3,0.0,203.5,4.83
28,164.0,321.0,5.0,190.0,57.21
90,157.0,236.0,0.0,192.0,47.78
28,178.0,156.0,7.0,221.0,29.41
7,272.8,181.9,0.0,185.7,12.37
28,0.0,505.0,0.0,195.0,64.02
3,189.2,374.0,10.1,170.1,34.4
14,0.0,212.6,10.4,159.4,25.37
7,0.0,252.0,0.0,185.0,13.71
56,0.0,190.3,9.9,166.6,31.72
28,0.0,252.5,0.0,185.7,19.77
28,112.0,266.0,10.0,178.0,39.42
3,0.0,331.0,0.0,192.0,13.52
100,0.0,230.0,4.6,195.5,35.34
7,106.3,425.0,18.6,151.4,46.8
28,141.3,212.0,0.0,203.5,33.0
28,0.0,165.0,12.0,182.0,18.03
28,97.1,252.1,8.3,193.8,33.4
28,0.0,152.0,8.0,184.0,12.18
56,0.0,233.8,4.6,197.9,27.66
14,0.0,251.4,6.4,188.5,24.43
3,0.0,289.0,0.0,192.0,11.65
28,122.6,183.9,0.0,203.5,24.05
3,0.0,254.0,0.0,198.0,9.31
28,0.0,312.7,8.0,178.1,25.1
28,136.0,144.0,7.0,178.0,26.14
3,0.0,222.4,4.5,189.3,11.58
28,76.0,304.0,0.0,228.0,55.26
100,0.0,252.3,14.2,146.3,60.95
56,26.0,491.0,3.9,201.0,61.86
7,209.4,139.6,0.0,192.0,14.59
28,209.4,139.6,0.0,192.0,44.21
7,97.1,388.6,12.1,157.9,34.9
90,0.0,333.0,0.0,192.0,41.68
56,0.0,238.1,7.0,186.7,39.59
28,142.5,332.5,0.0,228.0,41.05
28,167.0,142.0,11.0,174.0,44.61
28,110.5,261.9,5.0,195.4,33.72
14,45.2,182.0,8.2,170.2,21.5
14,0.0,230.0,4.6,195.5,20.08
28,0.0,339.0,0.0,185.0,31.65
91,94.7,401.8,11.4,147.4,75.5
3,0.0,190.7,7.8,162.1,15.04
28,170.0,331.0,8.0,195.0,56.61
28,137.2,297.8,6.0,201.3,53.52
28,190.0,190.0,0.0,228.0,50.66
14,0.0,212.0,7.8,159.0,31.35
28,98.1,213.7,6.9,181.7,45.71
3,0.0,393.0,0.0,192.0,19.11
90,0.0,307.0,0.0,193.0,32.92
7,0.0,397.0,0.0,185.7,25.45
28,121.0,287.0,9.0,188.0,41.94
28,237.5,237.5,0.0,228.0,36.25
7,0.0,382.0,0.0,185.0,24.0
91,117.2,469.0,7.0,137.8,70.7
7,0.0,238.1,0.0,185.7,10.34
100,75.4,167.0,7.9,164.0,56.81
28,0.0,304.8,9.8,196.0,30.12
28,0.0,213.5,11.7,159.2,44.64
28,145.0,313.0,8.0,127.0,44.52
28,209.4,139.6,0.0,192.0,44.7
56,0.0,277.1,11.8,160.6,51.04
7,142.5,332.5,0.0,228.0,30.28
100,0.0,194.7,7.5,165.6,37.34
7,19.0,359.0,10.9,154.0,38.61
56,24.0,446.0,11.6,162.0,61.07
7,0.0,350.0,0.0,203.0,18.13
28,190.1,162.0,18.8,178.8,33.76
56,54.6,218.2,11.9,140.8,61.99
28,137.0,298.0,6.0,201.0,53.52
7,181.9,272.8,0.0,185.7,19.77
90,0.0,254.0,0.0,198.0,26.94
56,0.0,213.5,11.7,154.6,51.43
56,0.0,350.0,0.0,203.0,29.98
28,105.0,135.0,6.0,196.0,21.91
56,45.2,182.0,8.2,170.2,43.5
14,0.0,261.4,0.0,173.0,59.76
7,106.3,425.0,16.5,153.5,49.2
28,121.0,288.4,7.0,177.4,42.14
28,100.5,260.9,8.6,200.6,32.4
7,0.0,252.0,0.0,186.0,11.47
14,0.0,277.1,11.8,160.6,41.89
28,0.0,200.0,0.0,180.0,12.25
56,177.0,439.0,11.1,186.0,71.7
3,0.0,255.0,0.0,192.0,8.2
28,142.5,332.5,0.0,228.0,40.27
28,0.0,331.0,0.0,192.0,31.74
100,0.0,212.1,5.7,180.3,39.61
3,0.0,290.4,9.4,168.1,22.5
28,243.0,156.0,11.0,180.0,37.36
28,13.6,172.4,4.1,156.8,33.69
28,0.0,322.0,10.0,196.0,31.18
3,50.1,173.5,6.5,164.8,23.08
90,0.0,277.0,0.0,191.0,31.25
28,145.0,314.0,8.0,179.0,46.23
28,117.0,277.0,7.0,191.0,43.57
28,238.7,152.6,6.3,200.0,26.86
28,0.0,144.8,11.1,180.8,13.2
3,200.0,133.0,0.0,192.0,6.88
7,0.0,295.0,0.0,185.0,14.8
28,0.0,277.1,11.8,160.6,48.28
28,0.0,164.2,12.6,181.2,15.09
7,20.0,387.0,11.6,157.0,41.67
14,13.6,172.4,4.1,156.8,29.75
100,42.2,168.9,10.8,158.3,48.15
100,0.0,250.0,5.3,191.8,41.16
28,0.0,300.0,10.0,212.0,23.84
28,0.0,261.4,0.0,173.0,71.62
28,149.0,322.0,8.0,186.0,52.42
7,132.4,198.6,0.0,192.0,14.64
28,93.8,375.0,23.4,126.6,56.7
14,0.0,295.7,8.9,171.5,35.23
28,0.0,380.0,0.0,228.0,53.3
3,106.3,425.0,16.5,153.5,33.4
56,19.0,359.0,10.9,154.0,66.78
90,47.5,427.5,0.0,228.0,41.54
14,0.0,251.4,5.8,188.5,29.93
7,24.0,446.0,11.6,162.0,52.01
3,0.0,251.8,12.4,146.1,21.02
28,0.0,275.1,9.9,159.5,51.33
7,236.0,157.0,0.0,192.0,16.89
14,0.0,194.7,7.5,170.2,24.28
28,0.0,326.5,10.8,199.0,38.63
28,178.0,152.0,18.0,168.0,36.35
7,124.1,186.2,0.0,185.7,8.0
28,133.0,200.0,0.0,192.0,30.44
56,0.0,252.3,14.2,146.3,55.83
28,148.6,322.5,8.5,185.8,52.43
28,0.0,339.0,0.0,197.0,36.45
28,214.0,157.0,9.0,200.0,33.05
28,175.1,147.8,2.2,171.2,26.92
28,144.7,312.7,8.0,127.3,44.52
28,0.0,350.0,0.0,203.0,32.72
28,0.0,246.8,12.0,143.3,52.5
28,76.0,304.0,0.0,228.0,54.38
28,0.0,281.0,0.0,185.0,22.44
28,0.0,218.9,11.3,158.5,30.22
3,189.0,337.9,9.5,174.9,24.1
7,0.0,310.0,0.0,192.0,17.24
3,20.0,387.0,11.6,157.0,34.77
100,13.6,172.4,4.1,156.8,37.68
100,0.0,190.3,9.9,161.9,40.39
7,22.0,424.0,8.9,168.0,40.29
28,0.0,254.0,0.0,198.0,29.79
14,75.4,167.0,7.9,164.0,32.9
56,0.0,246.8,12.0,143.3,60.32
28,0.0,164.0,13.0,181.0,15.09
28,114.6,146.5,8.8,201.9,19.99
28,155.5,170.3,0.0,185.7,25.73
14,97.8,277.2,11.2,160.7,47.71
56,24.0,446.0,11.6,162.0,56.14
28,0.0,255.0,0.0,192.0,18.75
7,200.9,286.3,11.2,144.7,38.0
56,22.0,424.0,8.9,168.0,74.36
90,0.0,339.0,0.0,197.0,35.17
