,AgeInDays,BlastFurnaceSlag,CementComponent,SuperplasticizerComponent,WaterComponent
0,28.0,0.0,540.0,2.5,162.0
1,28.0,0.0,540.0,2.5,162.0
2,28.0,142.5,332.5,0.0,228.0
3,28.0,142.5,332.5,0.0,228.0
4,28.0,132.4,198.6,0.0,192.0
5,90.0,114.0,266.0,0.0,228.0
6,28.0,95.0,380.0,0.0,228.0
7,28.0,95.0,380.0,0.0,228.0
8,28.0,114.0,266.0,0.0,228.0
9,28.0,0.0,475.0,0.0,228.0
10,90.0,132.4,198.6,0.0,192.0
11,28.0,132.4,198.6,0.0,192.0
12,28.0,47.5,427.5,0.0,228.0
13,90.0,190.0,190.0,0.0,228.0
14,28.0,76.0,304.0,0.0,228.0
15,90.0,0.0,380.0,0.0,228.0
16,90.0,209.4,139.6,0.0,192.0
17,28.0,38.0,342.0,0.0,228.0
18,90.0,95.0,380.0,0.0,228.0
19,28.0,0.0,475.0,0.0,228.0
20,28.0,47.5,427.5,0.0,228.0
21,28.0,209.4,139.6,0.0,192.0
22,3.0,209.4,139.6,0.0,192.0
23,28.0,209.4,139.6,0.0,192.0
24,28.0,0.0,380.0,0.0,228.0
25,28.0,0.0,380.0,0.0,228.0
26,28.0,95.0,380.0,0.0,228.0
27,28.0,38.0,342.0,0.0,228.0
28,28.0,47.5,427.5,0.0,228.0
29,7.0,0.0,475.0,0.0,228.0
30,28.0,76.0,304.0,0.0,228.0
31,28.0,114.0,266.0,0.0,228.0
32,28.0,132.4,198.6,0.0,192.0
33,28.0,0.0,475.0,0.0,228.0
34,28.0,190.0,190.0,0.0,228.0
35,28.0,237.5,237.5,0.0,228.0
36,28.0,237.5,237.5,0.0,228.0
37,90.0,142.5,332.5,0.0,228.0
38,90.0,0.0,475.0,0.0,228.0
39,28.0,237.5,237.5,0.0,228.0
40,90.0,38.0,342.0,0.0,228.0
41,28.0,47.5,427.5,0.0,228.0
42,28.0,237.5,237.5,0.0,228.0
43,28.0,0.0,380.0,0.0,228.0
44,90.0,47.5,427.5,0.0,228.0
45,7.0,47.5,427.5,0.0,228.0
46,3.0,0.0,349.0,0.0,192.0
47,28.0,95.0,380.0,0.0,228.0
48,7.0,237.5,237.5,0.0,228.0
49,7.0,95.0,380.0,0.0,228.0
50,28.0,142.5,332.5,0.0,228.0
51,28.0,190.0,190.0,0.0,228.0
52,90.0,237.5,237.5,0.0,228.0
53,90.0,76.0,304.0,0.0,228.0
54,7.0,209.4,139.6,0.0,192.0
55,7.0,132.4,198.6,0.0,192.0
56,28.0,0.0,475.0,0.0,228.0
57,3.0,132.4,198.6,0.0,192.0
58,28.0,76.0,304.0,0.0,228.0
59,28.0,142.5,332.5,0.0,228.0
60,28.0,76.0,304.0,0.0,228.0
61,28.0,114.0,266.0,0.0,228.0
62,3.0,0.0,310.0,0.0,192.0
63,28.0,190.0,190.0,0.0,228.0
64,28.0,114.0,266.0,0.0,228.0
65,28.0,38.0,342.0,0.0,228.0
66,28.0,209.4,139.6,0.0,192.0
